o-o,o-j1,o-j5
2025 Mahindra Thar Roxx AX7 L Petrol AT 2WD,"7,000 km  |  Petrol  |  Naraina, Delhi",Rs. 20.25 Lakh
2023 Toyota Innova Hyrcross ZX (O) Hybrid 7 STR,"56,000 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 30.9 Lakh
2024 Toyota Urban Cruiser Hyryder V Hybrid [2023-2025],"4,700 km  |  Hybrid (Electric + Petrol)  |  Mohan Coop. Indl.Area, Delhi",Rs. 18.25 Lakh
2020 Toyota Fortuner 2.8 4x2 MT [2016-2020],"34,734 km  |  Diesel  |  Mohan Coop. Indl.Area, Delhi",Rs. 29 Lakh
2022 Kia Carens Luxury Plus 1.5 Diesel AT 6 STR,"34,678 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 13.5 Lakh
2023 Kia Seltos HTX 1.5 IVT,"27,701 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 15.25 Lakh
2016 Maruti Suzuki Ciaz ZDi+ SHVS,"74,387 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 4 Lakh
2020 Hyundai Aura SX Plus 1.2 AMT Petrol,"68,012 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 5.1 Lakh
2017 Toyota Innova Crysta 2.7 GX AT 7 STR [2016-2020],"40,507 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 9.75 Lakh
2020 BMW 5-Series 530i Sport Line,"2,237 km  |  Petrol  |  Chittranjan Park, Delhi",Rs. 48 Lakh
2018 Maruti Suzuki Swift VXi,"72,401 km  |  Petrol  |  Rohini, Delhi",Rs. 4.25 Lakh
2022 Maruti Suzuki Vitara Brezza VXi [2023-2025],"83,443 km  |  Petrol  |  Rohini, Delhi",Rs. 7 Lakh
2019 Ford Ecosport Titanium 1.5L TDCi Black Edition,"85,987 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 6 Lakh
2021 MG Hector Sharp 1.5 Petrol Turbo DCT,"46,560 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 11.5 Lakh
2019 Skoda Superb L&K TSI AT,"46,902 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 17.25 Lakh
2020 Toyota Fortuner 2.8 4x2 AT [2016-2020],"94,928 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 26.99 Lakh
2015 Honda City SV,"57,278 km  |  Petrol  |  Rajapur, Delhi",Rs. 4.8 Lakh
2020 MG Hector Plus Sharp 2.0 Diesel,"78,789 km  |  Diesel  |  Rajapur, Delhi",Rs. 11.85 Lakh
2017 Honda Brio S MT,"46,191 km  |  Petrol  |  Rajapur, Delhi",Rs. 3.65 Lakh
2020 Maruti Suzuki XL6 Zeta AT Petrol,"41,099 km  |  Petrol  |  Rajapur, Delhi",Rs. 8.4 Lakh
2020 Maruti Suzuki Vitara Brezza VXi AT SHVS,"56,965 km  |  Petrol  |  Rajapur, Delhi",Rs. 7.5 Lakh
2021 Kia Seltos HTK 1.5 [2020-2021],"34,043 km  |  Petrol  |  Rajapur, Delhi",Rs. 9.25 Lakh
2019 Maruti Suzuki Wagon R VXI AMT,"76,206 km  |  Petrol  |  Rajapur, Delhi",Rs. 4.2 Lakh
2021 Tata Harrier XTA Plus,"66,249 km  |  Diesel  |  Rajapur, Delhi",Rs. 11.9 Lakh
2021 Kia Seltos HTX 1.5 [2020-2021],"27,135 km  |  Petrol  |  Rajapur, Delhi",Rs. 10.95 Lakh
2022 MG Hector Shine 1.5 Petrol Turbo MT,"29,751 km  |  Petrol  |  Rajapur, Delhi",Rs. 12.5 Lakh
2017 Maruti Suzuki Celerio VXi AMT,"26,178 km  |  Petrol  |  Rohini, Delhi",Rs. 3.25 Lakh
2016 Honda Amaze 1.2 SX i-VTEC,"33,338 km  |  Petrol  |  Rohini, Delhi",Rs. 3.35 Lakh
2024 Maruti Suzuki Ertiga VXi (O) CNG [2023-2025],"5,000 km  |  CNG  |  Rohini, Delhi",Rs. 10.75 Lakh
2019 Toyota Corolla Altis VL AT Petrol,"62,036 km  |  Petrol  |  Karol Bagh, Delhi",Rs. 11.5 Lakh
2021 Tata Harrier XZA Plus,"59,372 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 12.35 Lakh
2021 Skoda Superb L&K TSI AT,"93,583 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 18.49 Lakh
2022 Tata Tigor XZA Plus Dual Tone,"16,783 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 6.1 Lakh
2018 Hyundai Creta E Plus 1.6 Petrol,"48,448 km  |  Petrol  |  Rajapur, Delhi",Rs. 5.75 Lakh
2018 Toyota Corolla Altis VL AT Petrol,"56,972 km  |  Petrol  |  Rajapur, Delhi",Rs. 9.5 Lakh
2020 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"67,055 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 10.99 Lakh
2022 Kia Carens Luxury Plus 1.5 Diesel AT 6 STR,"34,678 km  |  Diesel  |  Ram Nagar, Delhi",Rs. 13.5 Lakh
2023 Kia Seltos HTX 1.5 IVT,"27,701 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 15.25 Lakh
2016 Maruti Suzuki Ciaz ZDi+ SHVS,"74,387 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 4 Lakh
2020 Hyundai Aura SX Plus 1.2 AMT Petrol,"68,012 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 5.1 Lakh
2017 Toyota Innova Crysta 2.7 GX AT 7 STR [2016-2020],"40,507 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 9.75 Lakh
2020 BMW 5-Series 530i Sport Line,"2,237 km  |  Petrol  |  Chittranjan Park, Delhi",Rs. 48 Lakh
2018 Maruti Suzuki Swift VXi,"72,401 km  |  Petrol  |  Rohini, Delhi",Rs. 4.25 Lakh
2022 Maruti Suzuki Vitara Brezza VXi [2023-2025],"83,443 km  |  Petrol  |  Rohini, Delhi",Rs. 7 Lakh
2019 Ford Ecosport Titanium 1.5L TDCi Black Edition,"85,987 km  |  Diesel  |  Kirti Nagar, Delhi",Rs. 6 Lakh
2021 MG Hector Sharp 1.5 Petrol Turbo DCT,"46,560 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 11.5 Lakh
2019 Skoda Superb L&K TSI AT,"46,902 km  |  Petrol  |  Ashok Vihar, Delhi",Rs. 17.25 Lakh
2020 Toyota Fortuner 2.8 4x2 AT [2016-2020],"94,928 km  |  Diesel  |  Ashok Vihar, Delhi",Rs. 26.99 Lakh
2015 Honda City SV,"57,278 km  |  Petrol  |  Rajapur, Delhi",Rs. 4.8 Lakh
2020 MG Hector Plus Sharp 2.0 Diesel,"78,789 km  |  Diesel  |  Rajapur, Delhi",Rs. 11.85 Lakh
2023 Tata Tiago XZ Plus CNG [2022-2023],"48,083 km  |  CNG  |  Ram Nagar, Delhi",Rs. 5.65 Lakh
2022 Volkswagen Tiguan Elegance 2.0 TSI DSG [2021],"45,932 km  |  Petrol  |  Naraina, Delhi",Rs. 24.5 Lakh
2022 Volkswagen Taigun Comfortline 1.0 TSI MT,"44,795 km  |  Petrol  |  Naraina, Delhi",Rs. 8.5 Lakh
2022 Volkswagen Taigun GT Plus 1.5 TSI DSG,"46,754 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 13.9 Lakh
2024 Kia Sonet HTX 1.0 Turbo Petrol DCT,"17,286 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 10.7 Lakh
2022 Tata Nexon XM (S) [2020-2023],"43,148 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 6.35 Lakh
2023 Skoda Slavia Style 1.0L TSI AT,"34,599 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 11.7 Lakh
2022 Honda City V Petrol,"56,548 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 8.5 Lakh
2023 Hyundai Aura SX 1.2 Petrol [2023-2025],"59,121 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 5.7 Lakh
2023 Volkswagen Taigun Comfortline 1.0 TSI MT,"38,191 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 8.3 Lakh
2022 Tata Nexon XZ Plus (S) [2022-2023],"43,532 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 7.5 Lakh
2020 Hyundai Creta SX 1.5 Petrol CVT [2020-2022],"25,495 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 11 Lakh
2020 Honda City VX CVT Petrol,"45,888 km  |  Petrol  |  Kirti Nagar, Delhi",Rs. 9.25 Lakh
2021 Skoda Superb Sportline AT,"53,224 km  |  Petrol  |  Naraina, Delhi",Rs. 22.9 Lakh
2021 MG Astor Sharp 1.5 MT [2021-2023],"24,725 km  |  Petrol  |  Ram Nagar, Delhi",Rs. 9.99 Lakh
2023 Volkswagen Taigun Topline 1.0 TSI AT,"44,075 km  |  Petrol  |  Rajapur, Delhi",Rs. 12.85 Lakh
2024 BMW iX xDrive 50,"17,027 km  |  Electric  |  Nimri, Delhi",Rs. 90 Lakh
2024 Mercedes-Benz EQA 250 Plus,"7,441 km  |  Electric  |  Nimri, Delhi",Rs. 49 Lakh
2024 Mercedes-Benz EQA 250 Plus,"7,317 km  |  Electric  |  Nimri, Delhi",Rs. 49 Lakh
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"13,129 km  |  Diesel  |  Nimri, Delhi",Rs. 98 Lakh
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"13,500 km  |  Petrol  |  Nimri, Delhi",Rs. 62 Lakh
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"44,692 km  |  Petrol  |  Nimri, Delhi",Rs. 57 Lakh
2021 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],"30,817 km  |  Petrol  |  Nimri, Delhi",Rs. 53 Lakh
2017 Honda Brio S MT,"46,191 km  |  Petrol  |  Rajapur, Delhi",Rs. 3.65 Lakh
2020 Maruti Suzuki XL6 Zeta AT Petrol,"41,099 km  |  Petrol  |  Rajapur, Delhi",Rs. 8.4 Lakh
2020 Maruti Suzuki Vitara Brezza VXi AT SHVS,"56,965 km  |  Petrol  |  Rajapur, Delhi",Rs. 7.5 Lakh
2021 Kia Seltos HTK 1.5 [2020-2021],"34,043 km  |  Petrol  |  Rajapur, Delhi",Rs. 9.25 Lakh
2019 Maruti Suzuki Wagon R VXI AMT,"76,206 km  |  Petrol  |  Rajapur, Delhi",Rs. 4.2 Lakh
2021 Tata Harrier XTA Plus,"66,249 km  |  Diesel  |  Rajapur, Delhi",Rs. 11.9 Lakh
2021 Kia Seltos HTX 1.5 [2020-2021],"27,135 km  |  Petrol  |  Rajapur, Delhi",Rs. 10.95 Lakh
2022 MG Hector Shine 1.5 Petrol Turbo MT,"29,751 km  |  Petrol  |  Rajapur, Delhi",Rs. 12.5 Lakh
2017 Maruti Suzuki Celerio VXi AMT,"26,178 km  |  Petrol  |  Rohini, Delhi",Rs. 3.25 Lakh
2016 Honda Amaze 1.2 SX i-VTEC,"33,338 km  |  Petrol  |  Rohini, Delhi",Rs. 3.35 Lakh
2020 Maruti Suzuki XL6 Zeta AT Petrol,"41,099 km  |  Petrol  |  Rajapur, Delhi",Rs. 8.4 Lakh
2020 Maruti Suzuki Vitara Brezza VXi AT SHVS,"56,965 km  |  Petrol  |  Rajapur, Delhi",Rs. 7.5 Lakh
2021 Kia Seltos HTK 1.5 [2020-2021],"34,043 km  |  Petrol  |  Rajapur, Delhi",Rs. 9.25 Lakh
2015 Honda City SV,"57,278 km  |  Petrol  |  Rajapur, Delhi",Rs. 4.8 Lakh
2020 MG Hector Plus Sharp 2.0 Diesel,"78,789 km  |  Diesel  |  Rajapur, Delhi",Rs. 11.85 Lakh
2023 Tata Tiago XZ Plus CNG [2022-2023],"48,083 km  |  CNG  |  Ram Nagar, Delhi",Rs. 5.65 Lakh
2022 Volkswagen Tiguan Elegance 2.0 TSI DSG [2021],"45,932 km  |  Petrol  |  Naraina, Delhi",Rs. 24.5 Lakh
2022 Volkswagen Taigun Comfortline 1.0 TSI MT,"44,795 km  |  Petrol  |  Naraina, Delhi",Rs. 8.5 Lakh
2022 Volkswagen Taigun GT Plus 1.5 TSI DSG,"46,754 km  |  Petrol  |  Lajpat Nagar, Delhi",Rs. 13.9 Lakh
